Unnamed: 0,track_name,album,artist,release_year,track_data_concat,first_genre_assigned,energy,danceability,duration_ms,mode,spotify_url,artist_image,album_cover,position,period
22,Estar Com Você,Essa É a Nossa Música,Ponto De Equilíbrio,2016,"Estar Com Você
Ponto De Equilíbrio
Essa É a Nossa Música
2016",brazilian hip hop,0.716,0.678,232771,0,https://open.spotify.com/track/7vr4COpQ4Q8TnVDHBzdG8i,https://i.scdn.co/image/ab6761610000e5eb346cd74e3a12f49529384300,https://i.scdn.co/image/ab67616d0000b2739de411641dc37eac2bf6d191,23,short_term
23,Não Quero Vingança - Spotify Singles,Não Quero Vingança - Spotify Singles,Emicida,2022,"Não Quero Vingança - Spotify Singles
Emicida
Não Quero Vingança - Spotify Singles
2022",afrofuturismo brasileiro,0.683,0.658,176920,1,https://open.spotify.com/track/4B4yZrE4D1ZTJF9c70wOMz,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b27301187b1323371fdabf7a8915,24,short_term
24,She's Gone,Kaya,Bob Marley & The Wailers,1978,"She's Gone
Bob Marley & The Wailers
Kaya
1978",reggae,0.607,0.583,145773,0,https://open.spotify.com/track/6MFWhzNSsLdW3WtsuBZsOg,https://i.scdn.co/image/b5aae2067db80f694a980e596e7f49618c1206c9,https://i.scdn.co/image/ab67616d0000b273387799441ba867649dfbb702,25,short_term
25,Espelhos D'Água,Meus Momentos,Dalto,1996,"Espelhos D'Água
Dalto
Meus Momentos
1996",mpb,0.526,0.617,175800,0,https://open.spotify.com/track/2nPjqjeE2NnjPr1rkoi4kK,https://i.scdn.co/image/ab67616d0000b27365a3af841dcec7a074cea799,https://i.scdn.co/image/ab67616d0000b27386aec4e76eb8d7adf992b9f1,26,short_term
26,Guia de um Amor Cego,Fim das Tentativas,Rico Dalasam,2022,"Guia de um Amor Cego
Rico Dalasam
Fim das Tentativas
2022",funk carioca,0.176,0.45,178333,0,https://open.spotify.com/track/4Xo05O1m4cTUzz6EuZtNXQ,https://i.scdn.co/image/ab6761610000e5eb1c158f22fb79ffd6a891fb18,https://i.scdn.co/image/ab67616d0000b2739f5c0117caef564df083a679,27,short_term
27,Happier Than Ever,Happier Than Ever,ASTN,2021,"Happier Than Ever
ASTN
Happier Than Ever
2021",bedroom soul,0.266,0.667,109326,0,https://open.spotify.com/track/7es56D0QedGMsK39wl2yFX,https://i.scdn.co/image/ab6761610000e5eb14dd8ae42a0bc5e8a591a15f,https://i.scdn.co/image/ab67616d0000b273698c11528e14ba96af68f973,28,short_term
28,Graveto - Ao Vivo,"Pagode Do Pericão II, Pt. 2 (Ao Vivo)",Péricles,2022,"Graveto - Ao Vivo
Péricles
Pagode Do Pericão II, Pt. 2 (Ao Vivo)
2022",pagode,0.531,0.55,168166,1,https://open.spotify.com/track/7AZPao1jegnylQcnDfNBxl,https://i.scdn.co/image/ab6761610000e5eb954f97eb8ee21ca812df09af,https://i.scdn.co/image/ab67616d0000b273141a6a520b196069616fc596,29,short_term
29,Estar Com Você - Ao Vivo,Juntos Somos Fortes (Ao Vivo),Ponto De Equilíbrio,2013,"Estar Com Você - Ao Vivo
Ponto De Equilíbrio
Juntos Somos Fortes (Ao Vivo)
2013",brazilian hip hop,0.672,0.81,257267,0,https://open.spotify.com/track/0CjxAXmWH4xvBD8lDoVYjE,https://i.scdn.co/image/ab6761610000e5eb346cd74e3a12f49529384300,https://i.scdn.co/image/ab67616d0000b2736a9593fc1e5a4485f9e99a9e,30,short_term
30,O TEMPO É SUA MORADA :: celebrar,RASGACABEZA,"Francisco, el Hombre",2019,"O TEMPO É SUA MORADA :: celebrar
Francisco, el Hombre
RASGACABEZA
2019",brazilian rock,0.458,0.562,229933,0,https://open.spotify.com/track/1IF1IpJ8SnBDgHO5Nig0pD,https://i.scdn.co/image/ab6761610000e5eb08accadfe2d0715311a1da73,https://i.scdn.co/image/ab67616d0000b2731ec055fe384da59913676594,31,short_term
31,Late Night Talking,Harry's House,Harry Styles,2022,"Late Night Talking
Harry Styles
Harry's House
2022",pop,0.901,0.714,177955,1,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,32,short_term
